name,context,input_1m_tokens,output_1m_tokens,max_rpm,max_tpm,max_tpd,batch_tpd,context_source,price_source,rate_source,notes
GPT-4o-2024-05-13,128000,5,15,10000,30000000,,5000000000,https://platform.openai.com/docs/models/continuous-model-upgrades,https://openai.com/api/pricing/,https://platform.openai.com/docs/guides/rate-limits,
ChatGPT-4o-latest (2024-08-08),128000,2.5,10,10000,30000000,,5000000000,https://platform.openai.com/docs/models/continuous-model-upgrades,https://openai.com/api/pricing/,https://platform.openai.com/docs/guides/rate-limits,
GPT-4o-mini-2024-07-18,128000,0.15,0.6,30000,150000000,,15000000000,https://platform.openai.com/docs/models/continuous-model-upgrades,https://openai.com/api/pricing/,https://platform.openai.com/docs/guides/rate-limits,
Claude 3.5 Sonnet,200000,3,15,4000,400000,50000000,,https://support.anthropic.com/en/articles/8606395-how-large-is-the-anthropic-api-s-context-window,https://www.anthropic.com/pricing#anthropic-api,https://docs.anthropic.com/en/api/rate-limits,
Claude 3 Opus,200000,15,75,4000,400000,10000000,,https://support.anthropic.com/en/articles/8606395-how-large-is-the-anthropic-api-s-context-window,https://www.anthropic.com/pricing#anthropic-api,https://docs.anthropic.com/en/api/rate-limits,
Claude 3 Haiku,200000,0.25,1.25,4000,400000,100000000,,https://support.anthropic.com/en/articles/8606395-how-large-is-the-anthropic-api-s-context-window,https://www.anthropic.com/pricing#anthropic-api,https://docs.anthropic.com/en/api/rate-limits,
Gemini-1.5-Flash-001,1000000,0.15,0.6,1000,4000000,,,https://ai.google.dev/pricing,https://ai.google.dev/pricing,https://ai.google.dev/pricing,Lower or free input/output prices for low usage
Gemini-1.5-Pro-Exp-0801,2000000,7,21,360,4000000,,,https://ai.google.dev/pricing,https://ai.google.dev/pricing,https://ai.google.dev/pricing,Lower or free input/output prices for low usage
Gemini-1.5-Pro-001,2000000,7,21,360,4000000,,,https://ai.google.dev/pricing,https://ai.google.dev/pricing,https://ai.google.dev/pricing,Lower or free input/output prices for low usage
Command R+,128000,3,15,,,,,https://cohere.com/blog/command-r-plus-microsoft-azure,https://cohere.com/pricing,,
Command R,128000,0.5,1.5,,,,,https://cohere.com/blog/Command-R,https://cohere.com/pricing,,
Mistral-Large-2407,128000,3,9,300,2000000,,,https://mistral.ai/news/mistral-large-2407/,https://mistral.ai/technology/#pricing,https://www.datacamp.com/tutorial/guide-to-working-with-the-mistral-large-model,"Limit of 10,000 million tokens per month"
Mistral Nemo,128000,0.3,0.3,300,2000000,,,https://mistral.ai/news/mistral-nemo/,https://mistral.ai/technology/#pricing,https://www.datacamp.com/tutorial/guide-to-working-with-the-mistral-large-model,"Limit of 10,000 million tokens per month"
